scale,algorithm,label,availability_percent,source
2.0,A,Single-level,99.97576240067355,availability/12
2.0,A_no_failure,Failure-agnostic,96.92615970654367,availability/11
2.0,layered3,Two-layer,99.89612433574425,availability/12
2.2,A,Single-level,99.97576240067355,availability/10
2.2,A_no_failure,Failure-agnostic,96.92615970654367,availability/11
2.2,layered3,Two-layer,99.67944947267947,availability/10
2.4,A,Single-level,99.97576240067355,availability/10
2.4,A_no_failure,Failure-agnostic,96.92615970654367,availability/11
2.4,layered3,Two-layer,99.49164188875028,availability/10
2.6,A,Single-level,99.82918846594421,availability/9
2.6,A_no_failure,Failure-agnostic,96.92615970654367,availability/11
2.6,layered3,Two-layer,99.41029150952131,availability/9
2.8,A,Single-level,99.8606988781723,availability/9
2.8,A_no_failure,Failure-agnostic,96.92615970654367,availability/11
2.8,layered3,Two-layer,98.9174696516424,availability/9
3.0,A,Single-level,99.56438595017823,availability/9
3.0,A_no_failure,Failure-agnostic,96.92615970654367,availability/11
3.0,layered3,Two-layer,98.65542161559698,availability/9
3.2,A,Single-level,98.85406376467701,availability/9
3.2,A_no_failure,Failure-agnostic,96.92615970654367,availability/11
3.2,layered3,Two-layer,97.56373176368001,availability/9
3.4,A,Single-level,98.6589515984316,availability/9
3.4,A_no_failure,Failure-agnostic,96.92615970654367,availability/11
3.4,layered3,Two-layer,97.56373176368001,availability/9
3.6,A,Single-level,97.94468394214397,availability/9
3.6,A_no_failure,Failure-agnostic,96.92615970654367,availability/11
3.6,layered3,Two-layer,97.43257505518028,availability/9
3.8,A,Single-level,97.71072908468484,availability/9
3.8,A_no_failure,Failure-agnostic,96.92615970654367,availability/11
3.8,layered3,Two-layer,97.33861790580283,availability/9
4.0,A,Single-level,97.71072908468484,availability/9
4.0,A_no_failure,Failure-agnostic,96.92615970654367,availability/11
4.0,layered3,Two-layer,97.21699027344837,availability/9
