scale,algorithm,label,actual_normal_u_link_max,expected_fail_u_link_max,source
2.0,A,Single-level,0.500552282374858,0.5037593919376077,availability/12
2.0,A_no_failure,Failure-agnostic,0.4238457116873002,0.4263982713123201,availability/11
2.0,layered3,Two-layer,0.5051140082244068,0.5106486593376314,availability/12
2.2,A,Single-level,0.5404540612174619,0.5442907409293621,availability/10
2.2,A_no_failure,Failure-agnostic,0.46392551853549013,0.46586543468335084,availability/11
2.2,layered3,Two-layer,0.5554009260449264,0.5615953053614912,availability/10
2.4,A,Single-level,0.5737025661861369,0.5781872572063111,availability/10
2.4,A_no_failure,Failure-agnostic,0.5179807223772002,0.5214722681306766,availability/11
2.4,layered3,Two-layer,0.6078571331400446,0.6145129983512462,availability/10
2.6,A,Single-level,0.6188222875820854,0.6229955641053047,availability/9
2.6,A_no_failure,Failure-agnostic,0.5420908604844851,0.5445463625505087,availability/11
2.6,layered3,Two-layer,0.6440708478094128,0.6515020553017344,availability/9
2.8,A,Single-level,0.6469127568415718,0.6522226131487691,availability/9
2.8,A_no_failure,Failure-agnostic,0.5802661580900335,0.5833345084783743,availability/11
2.8,layered3,Two-layer,0.7068723941512153,0.7147911137267617,availability/9
3.0,A,Single-level,0.704775537311168,0.7105764590358118,availability/9
3.0,A_no_failure,Failure-agnostic,0.6322246985489002,0.6358002722979103,availability/11
3.0,layered3,Two-layer,0.7633334357900244,0.7714446765731888,availability/9
3.2,A,Single-level,0.7323462259154301,0.7385186981959382,availability/9
3.2,A_no_failure,Failure-agnostic,0.6460867478419202,0.6497975650485691,availability/11
3.2,layered3,Two-layer,0.7959443323495684,0.8048660965179252,availability/9
3.4,A,Single-level,0.7946547317239502,0.8007148296206779,availability/9
3.4,A_no_failure,Failure-agnostic,0.7158993264463033,0.7215724678767651,availability/11
3.4,layered3,Two-layer,0.8625558891430443,0.8720091299886839,availability/9
3.6,A,Single-level,0.8243155301870247,0.8309300077747698,availability/9
3.6,A_no_failure,Failure-agnostic,0.72684759132216,0.7321788975315752,availability/11
3.6,layered3,Two-layer,0.9130172232985684,0.9229492029913696,availability/9
3.8,A,Single-level,0.8652882507922277,0.872712497261825,availability/9
3.8,A_no_failure,Failure-agnostic,0.7674907873438035,0.7716381178977637,availability/11
3.8,layered3,Two-layer,0.9600777514974376,0.9708457252195669,availability/9
4.0,A,Single-level,0.8878579723306792,0.8954677839175418,availability/9
4.0,A_no_failure,Failure-agnostic,0.8076084348024001,0.8112067505703929,availability/11
4.0,layered3,Two-layer,0.9944146565425889,1.0058549802166898,availability/9
