scale,algorithm,label,solve_time_sec,source
2.0,A,Single-level,356.5584292411804,availability/12
2.0,A_no_failure,Failure-agnostic,10.740530729293823,availability/11
2.0,layered3,Two-layer,17.43520474433899,availability/12
2.2,A,Single-level,398.7671329975128,availability/10
2.2,A_no_failure,Failure-agnostic,10.873096704483032,availability/11
2.2,layered3,Two-layer,17.70852518081665,availability/10
2.4,A,Single-level,347.48528480529785,availability/10
2.4,A_no_failure,Failure-agnostic,10.860058546066284,availability/11
2.4,layered3,Two-layer,17.47231936454773,availability/10
2.6,A,Single-level,403.18832993507385,availability/9
2.6,A_no_failure,Failure-agnostic,10.853635311126709,availability/11
2.6,layered3,Two-layer,18.177403211593628,availability/9
2.8,A,Single-level,392.25709319114685,availability/9
2.8,A_no_failure,Failure-agnostic,10.579462051391602,availability/11
2.8,layered3,Two-layer,17.589412450790405,availability/9
3.0,A,Single-level,422.5234606266022,availability/9
3.0,A_no_failure,Failure-agnostic,10.880134105682373,availability/11
3.0,layered3,Two-layer,18.099332809448242,availability/9
3.2,A,Single-level,460.23919010162354,availability/9
3.2,A_no_failure,Failure-agnostic,10.711482763290405,availability/11
3.2,layered3,Two-layer,18.198148012161255,availability/9
3.4,A,Single-level,475.5890476703644,availability/9
3.4,A_no_failure,Failure-agnostic,10.654077291488647,availability/11
3.4,layered3,Two-layer,17.647456884384155,availability/9
3.6,A,Single-level,396.7422466278076,availability/9
3.6,A_no_failure,Failure-agnostic,10.81562876701355,availability/11
3.6,layered3,Two-layer,17.685389280319214,availability/9
3.8,A,Single-level,442.8265731334686,availability/9
3.8,A_no_failure,Failure-agnostic,10.880128145217896,availability/11
3.8,layered3,Two-layer,18.71032738685608,availability/9
4.0,A,Single-level,417.1622452735901,availability/9
4.0,A_no_failure,Failure-agnostic,10.825427770614624,availability/11
4.0,layered3,Two-layer,18.452629327774048,availability/9
